ambito,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Ciudad de México,Durango,Estado de México,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
Ámbito: 1 Coordinación y flujos de la información,76.5,100,69.5,53,109.5,130,63,63,63,116.5,27,156.5,40,60,103,96.5,59.5,69.5,153,83,99.5,119.5,60,76.5,73,44,113,80,69.5,73.5,126.5,76.5
1. 1 Subámbito Instancia de coordinación técnica (ICT),16.5,33.5,16.5,6.5,36.5,36.5,16.5,16.5,16.5,36.5,3.5,40,3.5,16.5,36.5,36.5,16.5,16.5,36.5,36.5,36.5,46.5,13.5,26.5,26.5,13.5,36.5,36.5,16.5,36.5,40,16.5
1.2 Sub ámbito Sistema de información sectorial (SIS),10,16.5,6.5,0,16.5,20,0,0,3.5,6.5,3.5,20,0,0,0,13.5,16.5,6.5,30,0,16.5,16.5,0,3.5,0,3.5,20,0,6.5,0,26.5,13.5
1.3 Sub ámbito Planificación del proceso (PI),30,23.5,26.5,26.5,26.5,33.5,26.5,26.5,26.5,33.5,16.5,46.5,26.5,23.5,46.5,26.5,6.5,26.5,46.5,26.5,26.5,26.5,26.5,26.5,26.5,13.5,26.5,23.5,26.5,23.5,30,26.5
1.4 Sub ámbito Instancia política de coordinación (IPC),20,26.5,20,20,30,40,20,20,16.5,40,3.5,50,10,20,20,20,20,20,40,20,20,30,20,20,20,13.5,30,20,20,13.5,30,20
Ámbito: 2 Simetría institucional,40,186,14,14,54,186,0,0,14,94,106,120,14,54,0,66,66,14,106,40,66,66,0,54,54,14,66,54,14,40,80,54
Ámbito: 3 Ritmos de la implementación,160,134,134,134,94,160,80,120,146,146,134,146,134,134,120,146,146,134,120,106,106,146,134,146,134,134,106,94,134,134,160,146
Ámbito 4: Participación ciudadana,40,66,14,26,106,66,66,26,26,66,54,66,26,26,14,26,66,26,120,54,66,26,54,26,26,14,66,66,14,66,80,66
Ámbito 5: Recursos,40,80,54,54,54,80,66,66,40,106,14,160,54,14,54,66,66,54,80,54,66,54,66,66,54,54,66,14,54,54,120,66
Puntaje total,357,566,286,281,418,622,275,275,289,529,335,649,268,288,291,401,404,298,579,337,404,412,314,369,341,260,417,308,286,368,567,409
