entidad,sistn_op,eqcomptt,eqcomp1,eqcomp2,no_aplic
"15",14,"NA","NA","NA","NA"
"15",15,"NA","NA","NA","NA"
"15",99,"NA","NA","NA","NA"
"16",1,"NA","NA","NA","NA"
"16",2,"NA","NA","NA","NA"
"16",3,"NA","NA","NA","NA"
"16",4,"NA","NA","NA","NA"
"16",5,"NA","NA","NA","NA"
"16",6,"NA","NA","NA","NA"
"16",7,"NA","NA","NA","NA"
"16",8,"NA","NA","NA","NA"
"16",9,"NA","NA","NA","NA"
"16",10,"NA","NA","NA","NA"
"16",11,"NA","NA","NA","NA"
"16",12,"NA","NA","NA","NA"
"16",13,"NA","NA","NA","NA"
"16",14,"NA","NA","NA","NA"
"16",15,"NA","NA","NA","NA"
"16",99,"NA","NA","NA","NA"
"17",1,"NA","NA","NA","NA"
"17",2,"NA","NA","NA","NA"
"17",3,"NA","NA","NA","NA"
"17",4,"NA","NA","NA","NA"
"17",5,"NA","NA","NA","NA"
"17",6,"NA","NA","NA","NA"
"17",7,"NA","NA","NA","NA"
"17",8,"NA","NA","NA","NA"
"17",9,"NA","NA","NA","NA"
"17",10,"NA","NA","NA","NA"
"17",11,"NA","NA","NA","NA"
"17",12,"NA","NA","NA","NA"
"17",13,"NA","NA","NA","NA"
"17",14,"NA","NA","NA","NA"
"17",15,"NA","NA","NA","NA"
"17",99,"NA","NA","NA","NA"
"18",1,"NA","NA","NA","NA"
"18",2,"NA","NA","NA","NA"
"18",3,"NA","NA","NA","NA"
"18",4,"NA","NA","NA","NA"
"18",5,"NA","NA","NA","NA"
"18",6,"NA","NA","NA","NA"
"18",7,"NA","NA","NA","NA"
"18",8,"NA","NA","NA","NA"
"18",9,"NA","NA","NA","NA"
"18",10,"NA","NA","NA","NA"
"18",11,"NA","NA","NA","NA"
"18",12,"NA","NA","NA","NA"
"18",13,"NA","NA","NA","NA"
"18",14,"NA","NA","NA","NA"
"18",15,"NA","NA","NA","NA"
"18",99,"NA","NA","NA","NA"
"19",1,"NA","NA","NA","NA"
"19",2,"NA","NA","NA","NA"
