entidad,mater_ja,seguimtt,seguim1,seguim2,seguim3,seguim4,seguim5,seguim6,seguim7,seguimne,no_aplic
"28",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"28",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"29",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"29",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"29",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"29",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"29",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"29",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"29",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"29",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"30",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"30",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"30",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"30",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"30",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"30",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"30",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"30",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"31",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"31",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"31",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"31",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"31",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"31",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"31",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"31",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"32",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"32",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"32",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"32",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"32",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"32",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"32",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"32",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
