entidad,delselec,sexoidtt,sexoid1,sexoid2,sexoid3
"19",60203,"NSS","NSS","NSS","NSS"
"19",60209,"NSS","NSS","NSS","NSS"
"19",60299,"","","",""
"19",999999,"","","",""
"20",10101,"NSS","NSS","NSS","NSS"
"20",10102,"NSS","NSS","NSS","NSS"
"20",60200,"0","0","0","0"
"20",60201,"0","0","0","0"
"20",60202,"0","0","0","0"
"20",60203,"0","0","0","0"
"20",60209,"0","0","0","0"
"20",60299,"","","",""
"20",999999,"","","",""
"21",10101,"NSS","NSS","NSS","NSS"
"21",10102,"NSS","NSS","NSS","NSS"
"21",60200,"NSS","NSS","NSS","NSS"
"21",60201,"NSS","NSS","NSS","NSS"
"21",60202,"NSS","NSS","NSS","NSS"
"21",60203,"0","0","0","0"
"21",60209,"0","0","0","0"
"21",60299,"","","",""
"21",999999,"","","",""
"22",10101,"81","64","17","0"
"22",10102,"39","23","14","2"
"22",60200,"1","NSS","NSS","1"
"22",60201,"NSS","NSS","NSS","NSS"
"22",60202,"NSS","NSS","NSS","NSS"
"22",60203,"NSS","NSS","NSS","NSS"
"22",60209,"NSS","NSS","NSS","NSS"
"22",60299,"1","","","1"
"22",999999,"","","",""
"23",10101,"NSS","NSS","NSS","NSS"
"23",10102,"NSS","NSS","NSS","NSS"
"23",60200,"NSS","NSS","NSS","NSS"
"23",60201,"NSS","NSS","NSS","NSS"
"23",60202,"NSS","NSS","NSS","NSS"
"23",60203,"NSS","NSS","NSS","NSS"
"23",60209,"NSS","NSS","NSS","NSS"
"23",60299,"","","",""
"23",999999,"","","",""
"24",10101,"144","98","26","20"
"24",10102,"1","NSS","1","NSS"
"24",60200,"0","0","0","0"
"24",60201,"0","0","0","0"
"24",60202,"0","0","0","0"
"24",60203,"0","0","0","0"
"24",60209,"0","0","0","0"
"24",60299,"","","",""
"24",999999,"","","",""
"25",10101,"57","46","11","0"
"25",10102,"21","19","1","1"
"25",60200,"NSS","NSS","NSS","NSS"
"25",60201,"NSS","NSS","NSS","NSS"
"25",60202,"NSS","NSS","NSS","NSS"
"25",60203,"NSS","NSS","NSS","NSS"
"25",60209,"NSS","NSS","NSS","NSS"
"25",60299,"","","",""
"25",999999,"","","",""
"26",10101,"129","116","13","0"
"26",10102,"34","26","8","0"
"26",60200,"0","0","0","0"
"26",60201,"0","0","0","0"
"26",60202,"0","0","0","0"
"26",60203,"0","0","0","0"
"26",60209,"0","0","0","0"
"26",60299,"","","",""
"26",999999,"","","",""
"27",10101,"8","3","3","2"
"27",10102,"7","2","4","1"
"27",60200,"0","0","0","0"
"27",60201,"0","0","0","0"
"27",60202,"0","0","0","0"
"27",60203,"0","0","0","0"
"27",60209,"0","0","0","0"
"27",60299,"","","",""
"27",999999,"","","",""
"28",10101,"19","15","4","0"
"28",10102,"22","9","13","0"
"28",60200,"0","0","0","0"
"28",60201,"0","0","0","0"
"28",60202,"0","0","0","0"
"28",60203,"0","0","0","0"
"28",60209,"0","0","0","0"
"28",60299,"","","",""
"28",999999,"","","",""
"29",10101,"11","9","2","0"
"29",10102,"12","8","4","0"
"29",60200,"0","0","0","0"
"29",60201,"0","0","0","0"
"29",60202,"0","0","0","0"
"29",60203,"0","0","0","0"
"29",60209,"0","0","0","0"
"29",60299,"","","",""
"29",999999,"","","",""
"30",10101,"NSS","NSS","NSS","NSS"
"30",10102,"NSS","NSS","NSS","NSS"
"30",60200,"NSS","NSS","NSS","NSS"
"30",60201,"NSS","NSS","NSS","NSS"
"30",60202,"NSS","NSS","NSS","NSS"
"30",60203,"NSS","NSS","NSS","NSS"
"30",60209,"NSS","NSS","NSS","NSS"
"30",60299,"","","",""
"30",999999,"","","",""
"31",10101,"48","40","8","0"
"31",10102,"27","18","9","0"
"31",60200,"1","0","1","0"
"31",60201,"1","0","1","0"
"31",60202,"0","0","0","0"
"31",60203,"0","0","0","0"
"31",60209,"0","0","0","0"
"31",60299,"","","",""
"31",999999,"","","",""
"32",10101,"NSS","NSS","NSS","NSS"
"32",10102,"NSS","NSS","NSS","NSS"
"32",60200,"0","0","0","0"
"32",60201,"0","0","0","0"
"32",60202,"0","0","0","0"
"32",60203,"0","0","0","0"
"32",60209,"0","0","0","0"
"32",60299,"","","",""
"32",999999,"","","",""
