entidad,fam_ling,depasjtt,depasj1,depasj2,depasj4,depasj5
"10",5,"0","0","0","0","0"
"10",6,"0","0","0","0","0"
"10",7,"0","0","0","0","0"
"10",8,"0","0","0","0","0"
"10",9,"0","0","0","0","0"
"10",10,"0","0","0","0","0"
"10",11,"0","0","0","0","0"
"10",12,"0","0","0","0","0"
"10",13,"0","0","0","0","0"
"10",14,"1","1","0","0","0"
"10",15,"0","0","0","0","0"
"11",1,"NA","NA","NA","NA","NA"
"11",2,"NA","NA","NA","NA","NA"
"11",3,"NA","NA","NA","NA","NA"
"11",4,"NA","NA","NA","NA","NA"
"11",5,"NA","NA","NA","NA","NA"
"11",6,"NA","NA","NA","NA","NA"
"11",7,"NA","NA","NA","NA","NA"
"11",8,"NA","NA","NA","NA","NA"
"11",9,"NA","NA","NA","NA","NA"
"11",10,"NA","NA","NA","NA","NA"
"11",11,"NA","NA","NA","NA","NA"
"11",12,"NA","NA","NA","NA","NA"
"11",13,"NA","NA","NA","NA","NA"
"11",14,"NA","NA","NA","NA","NA"
"11",15,"NA","NA","NA","NA","NA"
"12",1,"95","49","46","0","0"
"12",2,"0","0","0","0","0"
"12",3,"0","0","0","0","0"
"12",4,"0","0","0","0","0"
"12",5,"0","0","0","0","0"
"12",6,"0","0","0","0","0"
"12",7,"0","0","0","0","0"
"12",8,"0","0","0","0","0"
"12",9,"0","0","0","0","0"
"12",10,"0","0","0","0","0"
"12",11,"0","0","0","0","0"
"12",12,"0","0","0","0","0"
"12",13,"0","0","0","0","0"
"12",14,"3","3","0","0","0"
"12",15,"0","0","0","0","0"
"13",1,"NA","NA","NA","NA","NA"
"13",2,"NA","NA","NA","NA","NA"
"13",3,"NA","NA","NA","NA","NA"
"13",4,"NA","NA","NA","NA","NA"
"13",5,"NA","NA","NA","NA","NA"
"13",6,"NA","NA","NA","NA","NA"
"13",7,"NA","NA","NA","NA","NA"
"13",8,"NA","NA","NA","NA","NA"
"13",9,"NA","NA","NA","NA","NA"
"13",10,"NA","NA","NA","NA","NA"
"13",11,"NA","NA","NA","NA","NA"
"13",12,"NA","NA","NA","NA","NA"
"13",13,"NA","NA","NA","NA","NA"
"13",14,"NA","NA","NA","NA","NA"
"13",15,"NA","NA","NA","NA","NA"
"14",1,"NA","NA","NA","NA","NA"
"14",2,"NA","NA","NA","NA","NA"
"14",3,"NA","NA","NA","NA","NA"
"14",4,"NA","NA","NA","NA","NA"
"14",5,"NA","NA","NA","NA","NA"
"14",6,"NA","NA","NA","NA","NA"
"14",7,"NA","NA","NA","NA","NA"
"14",8,"NA","NA","NA","NA","NA"
"14",9,"NA","NA","NA","NA","NA"
"14",10,"NA","NA","NA","NA","NA"
"14",11,"NA","NA","NA","NA","NA"
"14",12,"NA","NA","NA","NA","NA"
"14",13,"NA","NA","NA","NA","NA"
"14",14,"NA","NA","NA","NA","NA"
"14",15,"NA","NA","NA","NA","NA"
"15",1,"NA","NA","NA","NA","NA"
"15",2,"NA","NA","NA","NA","NA"
"15",3,"NA","NA","NA","NA","NA"
"15",4,"NA","NA","NA","NA","NA"
"15",5,"NA","NA","NA","NA","NA"
"15",6,"NA","NA","NA","NA","NA"
"15",7,"NA","NA","NA","NA","NA"
"15",8,"NA","NA","NA","NA","NA"
"15",9,"NA","NA","NA","NA","NA"
"15",10,"NA","NA","NA","NA","NA"
"15",11,"NA","NA","NA","NA","NA"
"15",12,"NA","NA","NA","NA","NA"
"15",13,"NA","NA","NA","NA","NA"
"15",14,"NA","NA","NA","NA","NA"
"15",15,"NA","NA","NA","NA","NA"
"16",1,"NA","NA","NA","NA","NA"
"16",2,"NA","NA","NA","NA","NA"
"16",3,"NA","NA","NA","NA","NA"
"16",4,"NA","NA","NA","NA","NA"
"16",5,"NA","NA","NA","NA","NA"
"16",6,"NA","NA","NA","NA","NA"
"16",7,"NA","NA","NA","NA","NA"
"16",8,"NA","NA","NA","NA","NA"
"16",9,"NA","NA","NA","NA","NA"
"16",10,"NA","NA","NA","NA","NA"
"16",11,"NA","NA","NA","NA","NA"
"16",12,"NA","NA","NA","NA","NA"
"16",13,"NA","NA","NA","NA","NA"
"16",14,"NA","NA","NA","NA","NA"
"16",15,"NA","NA","NA","NA","NA"
"17",1,"NA","NA","NA","NA","NA"
"17",2,"NA","NA","NA","NA","NA"
"17",3,"NA","NA","NA","NA","NA"
"17",4,"NA","NA","NA","NA","NA"
"17",5,"NA","NA","NA","NA","NA"
"17",6,"NA","NA","NA","NA","NA"
"17",7,"NA","NA","NA","NA","NA"
"17",8,"NA","NA","NA","NA","NA"
"17",9,"NA","NA","NA","NA","NA"
"17",10,"NA","NA","NA","NA","NA"
"17",11,"NA","NA","NA","NA","NA"
"17",12,"NA","NA","NA","NA","NA"
"17",13,"NA","NA","NA","NA","NA"
"17",14,"NA","NA","NA","NA","NA"
"17",15,"NA","NA","NA","NA","NA"
"18",1,"NA","NA","NA","NA","NA"
"18",2,"NA","NA","NA","NA","NA"
"18",3,"NA","NA","NA","NA","NA"
"18",4,"NA","NA","NA","NA","NA"
"18",5,"NA","NA","NA","NA","NA"
"18",6,"NA","NA","NA","NA","NA"
"18",7,"NA","NA","NA","NA","NA"
"18",8,"NA","NA","NA","NA","NA"
"18",9,"NA","NA","NA","NA","NA"
"18",10,"NA","NA","NA","NA","NA"
"18",11,"NA","NA","NA","NA","NA"
"18",12,"NA","NA","NA","NA","NA"
"18",13,"NA","NA","NA","NA","NA"
"18",14,"NA","NA","NA","NA","NA"
"18",15,"NA","NA","NA","NA","NA"
"19",1,"NA","NA","NA","NA","NA"
"19",2,"NA","NA","NA","NA","NA"
"19",3,"NA","NA","NA","NA","NA"
"19",4,"NA","NA","NA","NA","NA"
"19",5,"NA","NA","NA","NA","NA"
"19",6,"NA","NA","NA","NA","NA"
"19",7,"NA","NA","NA","NA","NA"
"19",8,"NA","NA","NA","NA","NA"
"19",9,"NA","NA","NA","NA","NA"
"19",10,"NA","NA","NA","NA","NA"
"19",11,"NA","NA","NA","NA","NA"
"19",12,"NA","NA","NA","NA","NA"
"19",13,"NA","NA","NA","NA","NA"
"19",14,"NA","NA","NA","NA","NA"
"19",15,"NA","NA","NA","NA","NA"
"20",1,"NA","NA","NA","NA","NA"
"20",2,"NA","NA","NA","NA","NA"
"20",3,"NA","NA","NA","NA","NA"
"20",4,"NA","NA","NA","NA","NA"
"20",5,"NA","NA","NA","NA","NA"
"20",6,"NA","NA","NA","NA","NA"
"20",7,"NA","NA","NA","NA","NA"
"20",8,"NA","NA","NA","NA","NA"
"20",9,"NA","NA","NA","NA","NA"
"20",10,"NA","NA","NA","NA","NA"
"20",11,"NA","NA","NA","NA","NA"
"20",12,"NA","NA","NA","NA","NA"
"20",13,"NA","NA","NA","NA","NA"
"20",14,"NA","NA","NA","NA","NA"
"20",15,"NA","NA","NA","NA","NA"
"21",1,"NA","NA","NA","NA","NA"
"21",2,"NA","NA","NA","NA","NA"
"21",3,"NA","NA","NA","NA","NA"
"21",4,"NA","NA","NA","NA","NA"
"21",5,"NA","NA","NA","NA","NA"
"21",6,"NA","NA","NA","NA","NA"
"21",7,"NA","NA","NA","NA","NA"
"21",8,"NA","NA","NA","NA","NA"
"21",9,"NA","NA","NA","NA","NA"
"21",10,"NA","NA","NA","NA","NA"
"21",11,"NA","NA","NA","NA","NA"
"21",12,"NA","NA","NA","NA","NA"
"21",13,"NA","NA","NA","NA","NA"
"21",14,"NA","NA","NA","NA","NA"
"21",15,"NA","NA","NA","NA","NA"
"22",1,"NA","NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA","NA"
"22",3,"NA","NA","NA","NA","NA"
"22",4,"NA","NA","NA","NA","NA"
"22",5,"NA","NA","NA","NA","NA"
"22",6,"NA","NA","NA","NA","NA"
"22",7,"NA","NA","NA","NA","NA"
"22",8,"NA","NA","NA","NA","NA"
"22",9,"NA","NA","NA","NA","NA"
"22",10,"NA","NA","NA","NA","NA"
"22",11,"NA","NA","NA","NA","NA"
"22",12,"NA","NA","NA","NA","NA"
"22",13,"NA","NA","NA","NA","NA"
"22",14,"NA","NA","NA","NA","NA"
"22",15,"NA","NA","NA","NA","NA"
"23",1,"NSS","NSS","NSS","NSS","NSS"
"23",2,"NSS","NSS","NSS","NSS","NSS"
"23",3,"NSS","NSS","NSS","NSS","NSS"
"23",4,"NSS","NSS","NSS","NSS","NSS"
"23",5,"NSS","NSS","NSS","NSS","NSS"
"23",6,"NSS","NSS","NSS","NSS","NSS"
"23",7,"NSS","NSS","NSS","NSS","NSS"
"23",8,"NSS","NSS","NSS","NSS","NSS"
"23",9,"NSS","NSS","NSS","NSS","NSS"
"23",10,"NSS","NSS","NSS","NSS","NSS"
"23",11,"NSS","NSS","NSS","NSS","NSS"
"23",12,"NSS","NSS","NSS","NSS","NSS"
"23",13,"NSS","NSS","NSS","NSS","NSS"
"23",14,"NSS","NSS","NSS","NSS","NSS"
"23",15,"52","22","20","2","8"
"24",1,"NA","NA","NA","NA","NA"
"24",2,"NA","NA","NA","NA","NA"
"24",3,"NA","NA","NA","NA","NA"
"24",4,"NA","NA","NA","NA","NA"
"24",5,"NA","NA","NA","NA","NA"
"24",6,"NA","NA","NA","NA","NA"
"24",7,"NA","NA","NA","NA","NA"
"24",8,"NA","NA","NA","NA","NA"
"24",9,"NA","NA","NA","NA","NA"
"24",10,"NA","NA","NA","NA","NA"
"24",11,"NA","NA","NA","NA","NA"
"24",12,"NA","NA","NA","NA","NA"
"24",13,"NA","NA","NA","NA","NA"
"24",14,"NA","NA","NA","NA","NA"
"24",15,"NA","NA","NA","NA","NA"
"25",1,"NA","NA","NA","NA","NA"
"25",2,"NA","NA","NA","NA","NA"
"25",3,"NA","NA","NA","NA","NA"
"25",4,"NA","NA","NA","NA","NA"
"25",5,"NA","NA","NA","NA","NA"
"25",6,"NA","NA","NA","NA","NA"
"25",7,"NA","NA","NA","NA","NA"
"25",8,"NA","NA","NA","NA","NA"
"25",9,"NA","NA","NA","NA","NA"
"25",10,"NA","NA","NA","NA","NA"
"25",11,"NA","NA","NA","NA","NA"
"25",12,"NA","NA","NA","NA","NA"
"25",13,"NA","NA","NA","NA","NA"
"25",14,"NA","NA","NA","NA","NA"
"25",15,"NA","NA","NA","NA","NA"
"26",1,"NA","NA","NA","NA","NA"
"26",2,"NA","NA","NA","NA","NA"
"26",3,"NA","NA","NA","NA","NA"
"26",4,"NA","NA","NA","NA","NA"
"26",5,"NA","NA","NA","NA","NA"
"26",6,"NA","NA","NA","NA","NA"
"26",7,"NA","NA","NA","NA","NA"
"26",8,"NA","NA","NA","NA","NA"
"26",9,"NA","NA","NA","NA","NA"
"26",10,"NA","NA","NA","NA","NA"
"26",11,"NA","NA","NA","NA","NA"
"26",12,"NA","NA","NA","NA","NA"
"26",13,"NA","NA","NA","NA","NA"
"26",14,"NA","NA","NA","NA","NA"
"26",15,"NA","NA","NA","NA","NA"
"27",1,"NA","NA","NA","NA","NA"
"27",2,"NA","NA","NA","NA","NA"
"27",3,"NA","NA","NA","NA","NA"
"27",4,"NA","NA","NA","NA","NA"
"27",5,"NA","NA","NA","NA","NA"
"27",6,"NA","NA","NA","NA","NA"
"27",7,"NA","NA","NA","NA","NA"
"27",8,"NA","NA","NA","NA","NA"
"27",9,"NA","NA","NA","NA","NA"
"27",10,"NA","NA","NA","NA","NA"
"27",11,"NA","NA","NA","NA","NA"
"27",12,"NA","NA","NA","NA","NA"
"27",13,"NA","NA","NA","NA","NA"
"27",14,"NA","NA","NA","NA","NA"
"27",15,"NA","NA","NA","NA","NA"
"28",1,"NA","NA","NA","NA","NA"
"28",2,"NA","NA","NA","NA","NA"
"28",3,"NA","NA","NA","NA","NA"
"28",4,"NA","NA","NA","NA","NA"
"28",5,"NA","NA","NA","NA","NA"
"28",6,"NA","NA","NA","NA","NA"
"28",7,"NA","NA","NA","NA","NA"
"28",8,"NA","NA","NA","NA","NA"
"28",9,"NA","NA","NA","NA","NA"
"28",10,"NA","NA","NA","NA","NA"
"28",11,"NA","NA","NA","NA","NA"
"28",12,"NA","NA","NA","NA","NA"
"28",13,"NA","NA","NA","NA","NA"
"28",14,"NA","NA","NA","NA","NA"
"28",15,"NA","NA","NA","NA","NA"
"29",1,"NA","NA","NA","NA","NA"
"29",2,"NA","NA","NA","NA","NA"
"29",3,"NA","NA","NA","NA","NA"
"29",4,"NA","NA","NA","NA","NA"
"29",5,"NA","NA","NA","NA","NA"
"29",6,"NA","NA","NA","NA","NA"
"29",7,"NA","NA","NA","NA","NA"
"29",8,"NA","NA","NA","NA","NA"
"29",9,"NA","NA","NA","NA","NA"
"29",10,"NA","NA","NA","NA","NA"
"29",11,"NA","NA","NA","NA","NA"
"29",12,"NA","NA","NA","NA","NA"
"29",13,"NA","NA","NA","NA","NA"
"29",14,"NA","NA","NA","NA","NA"
"29",15,"NA","NA","NA","NA","NA"
"30",1,"48","25","23","0","0"
"30",2,"0","0","0","0","0"
"30",3,"0","0","0","0","0"
"30",4,"0","0","0","0","0"
"30",5,"0","0","0","0","0"
"30",6,"0","0","0","0","0"
"30",7,"0","0","0","0","0"
"30",8,"0","0","0","0","0"
"30",9,"0","0","0","0","0"
"30",10,"0","0","0","0","0"
"30",11,"0","0","0","0","0"
"30",12,"0","0","0","0","0"
"30",13,"0","0","0","0","0"
"30",14,"0","0","0","0","0"
"30",15,"0","0","0","0","0"
"31",1,"NA","NA","NA","NA","NA"
"31",2,"NA","NA","NA","NA","NA"
"31",3,"NA","NA","NA","NA","NA"
"31",4,"NA","NA","NA","NA","NA"
"31",5,"NA","NA","NA","NA","NA"
"31",6,"NA","NA","NA","NA","NA"
"31",7,"NA","NA","NA","NA","NA"
"31",8,"NA","NA","NA","NA","NA"
"31",9,"NA","NA","NA","NA","NA"
"31",10,"NA","NA","NA","NA","NA"
"31",11,"NA","NA","NA","NA","NA"
"31",12,"NA","NA","NA","NA","NA"
"31",13,"NA","NA","NA","NA","NA"
"31",14,"NA","NA","NA","NA","NA"
"31",15,"NA","NA","NA","NA","NA"
"32",1,"NA","NA","NA","NA","NA"
"32",2,"NA","NA","NA","NA","NA"
"32",3,"NA","NA","NA","NA","NA"
"32",4,"NA","NA","NA","NA","NA"
"32",5,"NA","NA","NA","NA","NA"
"32",6,"NA","NA","NA","NA","NA"
"32",7,"NA","NA","NA","NA","NA"
"32",8,"NA","NA","NA","NA","NA"
"32",9,"NA","NA","NA","NA","NA"
"32",10,"NA","NA","NA","NA","NA"
"32",11,"NA","NA","NA","NA","NA"
"32",12,"NA","NA","NA","NA","NA"
"32",13,"NA","NA","NA","NA","NA"
"32",14,"NA","NA","NA","NA","NA"
"32",15,"NA","NA","NA","NA","NA"
