entidad,org_mate,sexodptt,sexodp1,sexodp2,sexoajtt,sexoaj1,sexoaj2,no_aplic
"07",10,"0","0","0","0","0","0",""
"07",11,"NA","NA","NA","NA","NA","NA","1"
"07",12,"7","7","0","0","0","0",""
"07",13,"NA","NA","NA","NA","NA","NA","1"
"07",14,"4","3","1","0","0","0",""
"07",15,"NA","NA","NA","NA","NA","NA","1"
"07",16,"NA","NA","NA","NA","NA","NA","1"
"07",17,"NA","NA","NA","NA","NA","NA","1"
"07",18,"0","0","0","0","0","0",""
"07",19,"2","1","1","0","0","0",""
"07",20,"NA","NA","NA","NA","NA","NA","1"
"07",21,"NA","NA","NA","NA","NA","NA","1"
"07",22,"NA","NA","NA","NA","NA","NA","1"
"07",23,"1","1","0","0","0","0",""
"07",24,"0","0","0","0","0","0",""
"07",25,"NA","NA","NA","NA","NA","NA","1"
"07",26,"NA","NA","NA","NA","NA","NA","1"
"07",27,"NA","NA","NA","NA","NA","NA","1"
"07",28,"2","2","0","0","0","0",""
"07",99,"","","","","","",""
"08",1,"NA","NA","NA","NA","NA","NA","1"
"08",2,"NA","NA","NA","NA","NA","NA","1"
"08",3,"NA","NA","NA","NA","NA","NA","1"
"08",4,"0","0","0","0","0","0",""
"08",5,"NA","NA","NA","NA","NA","NA","1"
"08",6,"NA","NA","NA","NA","NA","NA","1"
"08",7,"0","0","0","0","0","0",""
"08",8,"NA","NA","NA","NA","NA","NA","1"
"08",9,"14","3","11","0","0","0",""
"08",10,"NA","NA","NA","NA","NA","NA","1"
"08",11,"NA","NA","NA","NA","NA","NA","1"
"08",12,"56","19","37","1","1","0",""
"08",13,"0","0","0","0","0","0",""
"08",14,"6","4","2","0","0","0",""
"08",15,"0","0","0","0","0","0",""
"08",16,"NA","NA","NA","NA","NA","NA","1"
"08",17,"NA","NA","NA","NA","NA","NA","1"
"08",18,"0","0","0","0","0","0",""
"08",19,"0","0","0","0","0","0",""
"08",20,"NA","NA","NA","NA","NA","NA","1"
"08",21,"NA","NA","NA","NA","NA","NA","1"
"08",22,"0","0","0","0","0","0",""
"08",23,"104","62","42","0","0","0",""
"08",24,"0","0","0","0","0","0",""
"08",25,"NA","NA","NA","NA","NA","NA","1"
"08",26,"10","1","9","0","0","0",""
"08",27,"NA","NA","NA","NA","NA","NA","1"
"08",28,"0","0","0","0","0","0",""
"08",99,"","","","","","",""
"09",1,"NA","NA","NA","NA","NA","NA","NA"
"09",2,"NA","NA","NA","NA","NA","NA","NA"
"09",3,"NA","NA","NA","NA","NA","NA","NA"
"09",4,"NA","NA","NA","NA","NA","NA","NA"
"09",5,"NA","NA","NA","NA","NA","NA","NA"
"09",6,"NA","NA","NA","NA","NA","NA","NA"
"09",7,"NA","NA","NA","NA","NA","NA","NA"
"09",8,"NA","NA","NA","NA","NA","NA","NA"
"09",9,"NA","NA","NA","NA","NA","NA","NA"
"09",10,"NA","NA","NA","NA","NA","NA","NA"
"09",11,"NA","NA","NA","NA","NA","NA","NA"
"09",12,"NA","NA","NA","NA","NA","NA","NA"
"09",13,"NA","NA","NA","NA","NA","NA","NA"
"09",14,"NA","NA","NA","NA","NA","NA","NA"
"09",15,"NA","NA","NA","NA","NA","NA","NA"
"09",16,"NA","NA","NA","NA","NA","NA","NA"
"09",17,"NA","NA","NA","NA","NA","NA","NA"
"09",18,"NA","NA","NA","NA","NA","NA","NA"
"09",19,"NA","NA","NA","NA","NA","NA","NA"
"09",20,"NA","NA","NA","NA","NA","NA","NA"
"09",21,"NA","NA","NA","NA","NA","NA","NA"
"09",22,"NA","NA","NA","NA","NA","NA","NA"
"09",23,"NA","NA","NA","NA","NA","NA","NA"
"09",24,"NA","NA","NA","NA","NA","NA","NA"
"09",25,"NA","NA","NA","NA","NA","NA","NA"
"09",26,"NA","NA","NA","NA","NA","NA","NA"
"09",27,"NA","NA","NA","NA","NA","NA","NA"
"09",28,"NA","NA","NA","NA","NA","NA","NA"
"09",99,"","","","","","",""
"10",1,"NA","NA","NA","NA","NA","NA","1"
"10",2,"NA","NA","NA","NA","NA","NA","1"
"10",3,"2","1","1","0","0","0",""
"10",4,"0","0","0","1","0","1",""
"10",5,"7","4","3","1","1","0",""
"10",6,"9","4","5","0","0","0",""
"10",7,"5","4","1","0","0","0",""
"10",8,"13","11","2","2","2","0",""
"10",9,"NA","NA","NA","NA","NA","NA","1"
"10",10,"NA","NA","NA","NA","NA","NA","1"
"10",11,"NA","NA","NA","NA","NA","NA","1"
"10",12,"5","4","1","0","0","0",""
"10",13,"NA","NA","NA","NA","NA","NA","1"
"10",14,"NA","NA","NA","NA","NA","NA","1"
"10",15,"NA","NA","NA","NA","NA","NA","1"
"10",16,"5","3","2","0","0","0",""
"10",17,"0","0","0","3","1","2",""
"10",18,"1","0","1","0","0","0",""
"10",19,"0","0","0","1","1","0",""
"10",20,"NA","NA","NA","NA","NA","NA","1"
"10",21,"6","5","1","0","0","0",""
"10",22,"NA","NA","NA","NA","NA","NA","1"
"10",23,"NA","NA","NA","NA","NA","NA","1"
"10",24,"11","7","4","0","0","0",""
"10",25,"NA","NA","NA","NA","NA","NA","1"
"10",26,"NA","NA","NA","NA","NA","NA","1"
"10",27,"NA","NA","NA","NA","NA","NA","1"
"10",28,"NA","NA","NA","NA","NA","NA","1"
"10",99,"","","","","","",""
"11",1,"NA","NA","NA","NA","NA","NA","NA"
"11",2,"NA","NA","NA","NA","NA","NA","NA"
"11",3,"NA","NA","NA","NA","NA","NA","NA"
"11",4,"NA","NA","NA","NA","NA","NA","NA"
"11",5,"NA","NA","NA","NA","NA","NA","NA"
"11",6,"NA","NA","NA","NA","NA","NA","NA"
"11",7,"NA","NA","NA","NA","NA","NA","NA"
"11",8,"NA","NA","NA","NA","NA","NA","NA"
"11",9,"NA","NA","NA","NA","NA","NA","NA"
"11",10,"NA","NA","NA","NA","NA","NA","NA"
"11",11,"NA","NA","NA","NA","NA","NA","NA"
"11",12,"NA","NA","NA","NA","NA","NA","NA"
"11",13,"NA","NA","NA","NA","NA","NA","NA"
"11",14,"NA","NA","NA","NA","NA","NA","NA"
"11",15,"NA","NA","NA","NA","NA","NA","NA"
"11",16,"NA","NA","NA","NA","NA","NA","NA"
"11",17,"NA","NA","NA","NA","NA","NA","NA"
"11",18,"NA","NA","NA","NA","NA","NA","NA"
"11",19,"NA","NA","NA","NA","NA","NA","NA"
"11",20,"NA","NA","NA","NA","NA","NA","NA"
"11",21,"NA","NA","NA","NA","NA","NA","NA"
"11",22,"NA","NA","NA","NA","NA","NA","NA"
"11",23,"NA","NA","NA","NA","NA","NA","NA"
"11",24,"NA","NA","NA","NA","NA","NA","NA"
"11",25,"NA","NA","NA","NA","NA","NA","NA"
"11",26,"NA","NA","NA","NA","NA","NA","NA"
"11",27,"NA","NA","NA","NA","NA","NA","NA"
"11",28,"NA","NA","NA","NA","NA","NA","NA"
"11",99,"","","","","","",""
"12",1,"0","0","0","0","0","0",""
"12",2,"0","0","0","0","0","0",""
"12",3,"0","0","0","0","0","0",""
"12",4,"10","6","4","0","0","0",""
"12",5,"30","17","13","0","0","0",""
"12",6,"NA","NA","NA","NA","NA","NA","1"
"12",7,"12","8","4","0","0","0",""
"12",8,"NA","NA","NA","NA","NA","NA","1"
"12",9,"4","1","3","0","0","0",""
"12",10,"NA","NA","NA","NA","NA","NA","1"
"12",11,"NA","NA","NA","NA","NA","NA","1"
"12",12,"0","0","0","0","0","0",""
"12",13,"42","20","22","0","0","0",""
"12",14,"NA","NA","NA","NA","NA","NA","1"
"12",15,"NA","NA","NA","NA","NA","NA","1"
"12",16,"0","0","0","0","0","0",""
"12",17,"NA","NA","NA","NA","NA","NA","1"
"12",18,"0","0","0","0","0","0",""
"12",19,"NA","NA","NA","NA","NA","NA","1"
"12",20,"0","0","0","0","0","0",""
"12",21,"0","0","0","0","0","0",""
"12",22,"0","0","0","0","0","0",""
"12",23,"0","0","0","0","0","0",""
"12",24,"NA","NA","NA","NA","NA","NA","1"
"12",25,"0","0","0","0","0","0",""
"12",26,"NA","NA","NA","NA","NA","NA","1"
"12",27,"NA","NA","NA","NA","NA","NA","1"
"12",28,"NA","NA","NA","NA","NA","NA","1"
"12",99,"","","","","","",""
"13",1,"NA","NA","NA","NA","NA","NA","NA"
"13",2,"NA","NA","NA","NA","NA","NA","NA"
"13",3,"NA","NA","NA","NA","NA","NA","NA"
"13",4,"NA","NA","NA","NA","NA","NA","NA"
"13",5,"NA","NA","NA","NA","NA","NA","NA"
"13",6,"NA","NA","NA","NA","NA","NA","NA"
"13",7,"NA","NA","NA","NA","NA","NA","NA"
"13",8,"NA","NA","NA","NA","NA","NA","NA"
"13",9,"NA","NA","NA","NA","NA","NA","NA"
"13",10,"NA","NA","NA","NA","NA","NA","NA"
"13",11,"NA","NA","NA","NA","NA","NA","NA"
"13",12,"NA","NA","NA","NA","NA","NA","NA"
"13",13,"NA","NA","NA","NA","NA","NA","NA"
"13",14,"NA","NA","NA","NA","NA","NA","NA"
"13",15,"NA","NA","NA","NA","NA","NA","NA"
"13",16,"NA","NA","NA","NA","NA","NA","NA"
"13",17,"NA","NA","NA","NA","NA","NA","NA"
"13",18,"NA","NA","NA","NA","NA","NA","NA"
"13",19,"NA","NA","NA","NA","NA","NA","NA"
"13",20,"NA","NA","NA","NA","NA","NA","NA"
"13",21,"NA","NA","NA","NA","NA","NA","NA"
"13",22,"NA","NA","NA","NA","NA","NA","NA"
"13",23,"NA","NA","NA","NA","NA","NA","NA"
"13",24,"NA","NA","NA","NA","NA","NA","NA"
"13",25,"NA","NA","NA","NA","NA","NA","NA"
"13",26,"NA","NA","NA","NA","NA","NA","NA"
"13",27,"NA","NA","NA","NA","NA","NA","NA"
"13",28,"NA","NA","NA","NA","NA","NA","NA"
"13",99,"","","","","","",""
"14",1,"NA","NA","NA","NA","NA","NA","NA"
"14",2,"NA","NA","NA","NA","NA","NA","NA"
"14",3,"NA","NA","NA","NA","NA","NA","NA"
"14",4,"NA","NA","NA","NA","NA","NA","NA"
"14",5,"NA","NA","NA","NA","NA","NA","NA"
"14",6,"NA","NA","NA","NA","NA","NA","NA"
"14",7,"NA","NA","NA","NA","NA","NA","NA"
"14",8,"NA","NA","NA","NA","NA","NA","NA"
"14",9,"NA","NA","NA","NA","NA","NA","NA"
"14",10,"NA","NA","NA","NA","NA","NA","NA"
"14",11,"NA","NA","NA","NA","NA","NA","NA"
"14",12,"NA","NA","NA","NA","NA","NA","NA"
"14",13,"NA","NA","NA","NA","NA","NA","NA"
"14",14,"NA","NA","NA","NA","NA","NA","NA"
"14",15,"NA","NA","NA","NA","NA","NA","NA"
"14",16,"NA","NA","NA","NA","NA","NA","NA"
"14",17,"NA","NA","NA","NA","NA","NA","NA"
"14",18,"NA","NA","NA","NA","NA","NA","NA"
"14",19,"NA","NA","NA","NA","NA","NA","NA"
"14",20,"NA","NA","NA","NA","NA","NA","NA"
"14",21,"NA","NA","NA","NA","NA","NA","NA"
"14",22,"NA","NA","NA","NA","NA","NA","NA"
"14",23,"NA","NA","NA","NA","NA","NA","NA"
"14",24,"NA","NA","NA","NA","NA","NA","NA"
"14",25,"NA","NA","NA","NA","NA","NA","NA"
"14",26,"NA","NA","NA","NA","NA","NA","NA"
"14",27,"NA","NA","NA","NA","NA","NA","NA"
"14",28,"NA","NA","NA","NA","NA","NA","NA"
"14",99,"","","","","","",""
"15",1,"NA","NA","NA","NA","NA","NA","NA"
"15",2,"NA","NA","NA","NA","NA","NA","NA"
"15",3,"NA","NA","NA","NA","NA","NA","NA"
"15",4,"NA","NA","NA","NA","NA","NA","NA"
"15",5,"NA","NA","NA","NA","NA","NA","NA"
"15",6,"NA","NA","NA","NA","NA","NA","NA"
"15",7,"NA","NA","NA","NA","NA","NA","NA"
"15",8,"NA","NA","NA","NA","NA","NA","NA"
"15",9,"NA","NA","NA","NA","NA","NA","NA"
"15",10,"NA","NA","NA","NA","NA","NA","NA"
"15",11,"NA","NA","NA","NA","NA","NA","NA"
"15",12,"NA","NA","NA","NA","NA","NA","NA"
"15",13,"NA","NA","NA","NA","NA","NA","NA"
"15",14,"NA","NA","NA","NA","NA","NA","NA"
"15",15,"NA","NA","NA","NA","NA","NA","NA"
"15",16,"NA","NA","NA","NA","NA","NA","NA"
"15",17,"NA","NA","NA","NA","NA","NA","NA"
"15",18,"NA","NA","NA","NA","NA","NA","NA"
"15",19,"NA","NA","NA","NA","NA","NA","NA"
"15",20,"NA","NA","NA","NA","NA","NA","NA"
"15",21,"NA","NA","NA","NA","NA","NA","NA"
"15",22,"NA","NA","NA","NA","NA","NA","NA"
"15",23,"NA","NA","NA","NA","NA","NA","NA"
"15",24,"NA","NA","NA","NA","NA","NA","NA"
"15",25,"NA","NA","NA","NA","NA","NA","NA"
"15",26,"NA","NA","NA","NA","NA","NA","NA"
"15",27,"NA","NA","NA","NA","NA","NA","NA"
"15",28,"NA","NA","NA","NA","NA","NA","NA"
"15",99,"","","","","","",""
"16",1,"NA","NA","NA","NA","NA","NA","NA"
"16",2,"NA","NA","NA","NA","NA","NA","NA"
"16",3,"NA","NA","NA","NA","NA","NA","NA"
"16",4,"NA","NA","NA","NA","NA","NA","NA"
"16",5,"NA","NA","NA","NA","NA","NA","NA"
"16",6,"NA","NA","NA","NA","NA","NA","NA"
"16",7,"NA","NA","NA","NA","NA","NA","NA"
"16",8,"NA","NA","NA","NA","NA","NA","NA"
"16",9,"NA","NA","NA","NA","NA","NA","NA"
"16",10,"NA","NA","NA","NA","NA","NA","NA"
"16",11,"NA","NA","NA","NA","NA","NA","NA"
"16",12,"NA","NA","NA","NA","NA","NA","NA"
"16",13,"NA","NA","NA","NA","NA","NA","NA"
"16",14,"NA","NA","NA","NA","NA","NA","NA"
"16",15,"NA","NA","NA","NA","NA","NA","NA"
"16",16,"NA","NA","NA","NA","NA","NA","NA"
"16",17,"NA","NA","NA","NA","NA","NA","NA"
"16",18,"NA","NA","NA","NA","NA","NA","NA"
"16",19,"NA","NA","NA","NA","NA","NA","NA"
"16",20,"NA","NA","NA","NA","NA","NA","NA"
"16",21,"NA","NA","NA","NA","NA","NA","NA"
"16",22,"NA","NA","NA","NA","NA","NA","NA"
"16",23,"NA","NA","NA","NA","NA","NA","NA"
"16",24,"NA","NA","NA","NA","NA","NA","NA"
"16",25,"NA","NA","NA","NA","NA","NA","NA"
"16",26,"NA","NA","NA","NA","NA","NA","NA"
"16",27,"NA","NA","NA","NA","NA","NA","NA"
"16",28,"NA","NA","NA","NA","NA","NA","NA"
"16",99,"","","","","","",""
"17",1,"NA","NA","NA","NA","NA","NA","NA"
"17",2,"NA","NA","NA","NA","NA","NA","NA"
"17",3,"NA","NA","NA","NA","NA","NA","NA"
"17",4,"NA","NA","NA","NA","NA","NA","NA"
"17",5,"NA","NA","NA","NA","NA","NA","NA"
"17",6,"NA","NA","NA","NA","NA","NA","NA"
"17",7,"NA","NA","NA","NA","NA","NA","NA"
"17",8,"NA","NA","NA","NA","NA","NA","NA"
"17",9,"NA","NA","NA","NA","NA","NA","NA"
"17",10,"NA","NA","NA","NA","NA","NA","NA"
"17",11,"NA","NA","NA","NA","NA","NA","NA"
"17",12,"NA","NA","NA","NA","NA","NA","NA"
"17",13,"NA","NA","NA","NA","NA","NA","NA"
"17",14,"NA","NA","NA","NA","NA","NA","NA"
"17",15,"NA","NA","NA","NA","NA","NA","NA"
"17",16,"NA","NA","NA","NA","NA","NA","NA"
"17",17,"NA","NA","NA","NA","NA","NA","NA"
"17",18,"NA","NA","NA","NA","NA","NA","NA"
"17",19,"NA","NA","NA","NA","NA","NA","NA"
"17",20,"NA","NA","NA","NA","NA","NA","NA"
"17",21,"NA","NA","NA","NA","NA","NA","NA"
"17",22,"NA","NA","NA","NA","NA","NA","NA"
"17",23,"NA","NA","NA","NA","NA","NA","NA"
"17",24,"NA","NA","NA","NA","NA","NA","NA"
"17",25,"NA","NA","NA","NA","NA","NA","NA"
"17",26,"NA","NA","NA","NA","NA","NA","NA"
"17",27,"NA","NA","NA","NA","NA","NA","NA"
"17",28,"NA","NA","NA","NA","NA","NA","NA"
"17",99,"","","","","","",""
"18",1,"NA","NA","NA","NA","NA","NA","NA"
"18",2,"NA","NA","NA","NA","NA","NA","NA"
"18",3,"NA","NA","NA","NA","NA","NA","NA"
"18",4,"NA","NA","NA","NA","NA","NA","NA"
"18",5,"NA","NA","NA","NA","NA","NA","NA"
"18",6,"NA","NA","NA","NA","NA","NA","NA"
"18",7,"NA","NA","NA","NA","NA","NA","NA"
"18",8,"NA","NA","NA","NA","NA","NA","NA"
"18",9,"NA","NA","NA","NA","NA","NA","NA"
"18",10,"NA","NA","NA","NA","NA","NA","NA"
"18",11,"NA","NA","NA","NA","NA","NA","NA"
"18",12,"NA","NA","NA","NA","NA","NA","NA"
"18",13,"NA","NA","NA","NA","NA","NA","NA"
"18",14,"NA","NA","NA","NA","NA","NA","NA"
"18",15,"NA","NA","NA","NA","NA","NA","NA"
"18",16,"NA","NA","NA","NA","NA","NA","NA"
"18",17,"NA","NA","NA","NA","NA","NA","NA"
"18",18,"NA","NA","NA","NA","NA","NA","NA"
"18",19,"NA","NA","NA","NA","NA","NA","NA"
"18",20,"NA","NA","NA","NA","NA","NA","NA"
"18",21,"NA","NA","NA","NA","NA","NA","NA"
"18",22,"NA","NA","NA","NA","NA","NA","NA"
"18",23,"NA","NA","NA","NA","NA","NA","NA"
"18",24,"NA","NA","NA","NA","NA","NA","NA"
"18",25,"NA","NA","NA","NA","NA","NA","NA"
"18",26,"NA","NA","NA","NA","NA","NA","NA"
"18",27,"NA","NA","NA","NA","NA","NA","NA"
"18",28,"NA","NA","NA","NA","NA","NA","NA"
"18",99,"","","","","","",""
"19",1,"NA","NA","NA","NA","NA","NA","NA"
"19",2,"NA","NA","NA","NA","NA","NA","NA"
"19",3,"NA","NA","NA","NA","NA","NA","NA"
"19",4,"NA","NA","NA","NA","NA","NA","NA"
"19",5,"NA","NA","NA","NA","NA","NA","NA"
